nombre_categoria,descripcion
Rock,Género musical basado en el uso de guitarras eléctricas y percusión.
Deportes,"Categoría para contenidos relacionados con deportes, como videos de partidos, highlights, y música deportiva."
Pop,Género musical caracterizado por melodías pegajosas y letras sencillas.
Acción,"secuencias de alto impacto, como peleas, persecuciones, tiroteos, explosiones y acrobacias"
Documentales,"Videos y películas basadas en hechos reales, de carácter educativo o informativo."
Electrónica,"Género de música con énfasis en sonidos electrónicos, sintetizadores y beats."
Comedia,"historietas,stand-up, sketches y parodias."
Retro/Vintage,"estilos antiguos o de épocas pasadas, como los 80s y 90s."
Hip Hop,"Género musical basado en el ritmo y las rimas, con un enfoque en el rap."
Jazz,Género musical con improvisación y una amplia variedad de estilos y subgéneros.
